t,"satellite position (lat,lon)","nearest target (lat,lon)",camera tilt deg,angular velocity
0,"0.000,0.000","17.987,22.747",15,0
5,"0.287,0.359","17.987,22.747",15,0
10,"0.573,0.718","17.987,22.747",15,0
15,"0.860,1.077","17.987,22.747",15,0
20,"1.147,1.436","17.987,22.747",15,0
25,"1.433,1.795","17.987,22.747",15,0
30,"1.720,2.154","17.987,22.747",15,0
35,"2.007,2.513","17.987,22.747",15,0
40,"2.293,2.872","17.987,22.747",15,0
45,"2.580,3.231","17.987,22.747",15,0
50,"2.866,3.589","17.987,22.747",15,0
55,"3.152,3.948","17.987,22.747",15,0
60,"3.438,4.307","17.987,22.747",15,0
65,"3.724,4.665","17.987,22.747",15,0
70,"4.011,5.024","17.987,22.747",15,0
75,"4.296,5.383","17.987,22.747",15,0
80,"4.582,5.741","17.987,22.747",15,0
85,"4.868,6.099","17.987,22.747",15,0
90,"5.153,6.458","17.987,22.747",15,0
95,"5.439,6.816","17.987,22.747",15,0
100,"5.724,7.174","17.987,22.747",15,0
105,"6.009,7.532","17.987,22.747",15,0
110,"6.294,7.890","17.987,22.747",15,0
115,"6.579,8.248","17.987,22.747",15,0
120,"6.863,8.606","17.987,22.747",15,0
125,"7.148,8.963","17.987,22.747",15,0
130,"7.432,9.321","17.987,22.747",15,0
135,"7.716,9.678","17.987,22.747",15,0
140,"8.000,10.035","17.987,22.747",15,0
145,"8.283,10.392","17.987,22.747",15,0
150,"8.566,10.749","17.987,22.747",15,0
155,"8.850,11.106","17.987,22.747",15,0
160,"9.132,11.463","17.987,22.747",15,0
165,"9.415,11.819","17.987,22.747",15,0
170,"9.697,12.176","17.987,22.747",15,0
175,"9.979,12.532","17.987,22.747",15,0
180,"10.261,12.888","17.987,22.747",15,0
185,"10.543,13.244","17.987,22.747",15,0
190,"10.824,13.600","17.987,22.747",15,0
195,"11.105,13.955","17.987,22.747",15,0
200,"11.385,14.311","17.987,22.747",15,0
205,"11.666,14.666","17.987,22.747",15,0
210,"11.946,15.021","17.987,22.747",15,0
215,"12.225,15.376","17.987,22.747",15,0
220,"12.505,15.731","17.987,22.747",15,0
225,"12.784,16.085","17.987,22.747",15,0
230,"13.062,16.439","17.987,22.747",15,0
235,"13.341,16.793","17.987,22.747",15,0
240,"13.619,17.147","17.987,22.747",15,0
245,"13.896,17.501","17.987,22.747",15,0
250,"14.173,17.854","17.987,22.747",15,0
